Sr. No,Study No.,Study Title,Principle Investigator,Current Status,Publication 
156,2021,"Screening for mental disorders in patients with newly diagnosed coronary artery disease: A prospective, cross-sectional, observational study.",Dr.Nitin Abdagire,Completed,Yes
157,2021,Integration of Spiritual Counseling in improving the well-being of depression patients who have suicidal ideation,Ms.Papiya Sanyal,Completed,Yes
158,2021,Exploring the Effect of Spiritual Counseling for Improving Quality of Life and Spiritual Well-Being of Cancer Patients,Ms.Aleya sanyal,Completed,Yes
159,2021,"Prospective, Single Centre, Observational study on evaluation of changes in blood pressure in preoperative period in patients posted for Cataract surgery in Indian population.",Dr.Kshama Shah,Ongoing,No
160,2021,A Prospective Multicentric study of Thoracic Segmental Spinal Anaesthesia.,Dr. Rajesh Rao,Ongoing,No
161,2021,Impact of antibiotic rotation protocol on antimicrobial resistance pattern in a tertiary care hospital - A retrospective study.,Dr.Kinjal Patel,Completed,Yes
162,2021,An open labelled multicentric clinical trial of safety and efficacy of Feijoa freeze dried powder (FFDP) capsule in treated uncontrolled type 2 diabetic patients.,Dr.Ameya Joshi,Completed,No
163,2021,Development of a prescreening tool in hindi for early identification of peripheral neuropathy,Dr.Ameya Joshi,Ongoing,No
164,2021,"Prospective, single center study to assess the utility of pre-operative spiritual care intervention on post-operative stress.",Dr.Vaishali Choudhary,Completed,Yes
165,2021,"Prospective, Single center study to understand the relevance of Telemedicine in orthopedic practice during Covid-19 era.",Dr.Girish Rathod,Ongoing,No
166,2021,"Single center, Retrospective, Observational study to compare and assess the epidemiology of diseases in the in-patient department of Orthopaedics during and before the Covid-19 era.",Dr.Pushkar Borole,Ongoing,No
167,2021,"A retrospective, single center, observational study to analyze correlation between Vitamin D-3 deficiency in orthopedic disorders.",Dr.Nitin Raut,Completed,Yes
168,2021,"Prospective, single centre, observational cohort study to evaluate pattern of infections in chemotherapy induced neutropenia.",Dr.Prashant Patil,Ongoing,No
169,2021,"Prospective, single center, observational study to analyze the outcome of modified limberg flap technique in pilonidal sinus",Dr.Sharad Waje,Ongoing,No
170,2021,National (i Ndian  Analgo-seda TION  And deLirium): Multi-center Prospective Observational Study of Current Analgo- Sedation Practices and the incidence of delirium in Indian ICUs: INSTINCT II study (INhaled SedaTion IN CriTically ill patients – INSTINCT study Group),Dr.Prashant Dhotre,Ongoing,No
171,2021,"Prospective, Multicenter, Study to Analyze the impact of Emotional Intelligence of Doctors on Patient-Doctor relationship and Patient Satisfaction.",Dr.Dhaval Dalal,Ongoing,No
172,2022,Phase 3 randomized study for evaluation of physician choice Rx and triple metronomic as second line therapy in head and neck cancer.,Dr.Nirmal Raut,Ongoing,No
173,2022,"Prospective, randomized, two-arm, observational pilot study to evaluate accuracy of  a digital platform that predicts early risk and severity of Non-alcoholic Fatty Liver Disease (NAFLD) and disease management approach in Indian NAFLD patients.",Dr.Kirti Mutreja,Completed,Yes
174,2022,Real world study of Safety and Efficacy of Lorlatinib in ALK-rearranged advanced non- small cell lung cancer patients in India - a multicenter chart review study,Dr.Nirmal Raut,Ongoing,No
175,2022,"A prospective observational study of the clinical and haematological parameters in newborns, born to mothers with pregnancy induced hypertension in comparison to the newborns born to mothers without pregnancy induced hypertension.",Dr.Sana Agrawal,Ongoing,No
176,2022,Prospective observational study of prevalence and distribution of congenital heart defects in neonates and infants with clinical murmur in a tertiary care centre.,Dr.Jyotsima Pandey,Ongoing,No
177,2022,OCT study of post- phacoemulsification healed corneal wounds,Dr.Harika Hari,Ongoing,No
178,2022,"Prospective, single center observational study of severity of hypomagnesemia in critically ill patients.",Dr.Anirudh Kulkarni,Ongoing,No
179,2022,DC000081 An observational study to assess the effect of the Accu-check sugar view app (based on app version 4.0.3) on diabetes empowerment of subjects with type-2 diabetes mellitus (BEAT Accu-check sugar view India study),Dr.Ameya Joshi,Ongoing,No
180,2022,"A retrospective, single centre study for conducting the analysis of the histopathological findings of appendix biopsies in patients at a tertiary care centre.",Dr.Sarang Degloorkar,Completed,Yes
181,2022,"A retrospective, single centre study of the histopathological analysis of breast biopsies in patients at a tertiary care centre.",Dr.Sarang Degloorkar,Completed,Yes
182,2022,"A retrospective, single centre study for analysing the histopathological findings of lymph node biopsies in patients at a tertiary care centre.",Dr.Sarang Degloorkar,Completed,Yes
